Date,Open,High,Low,Close,Adj Close,Volume
2001-02-28,404.5799865722656,404.5799865722656,404.5799865722656,404.5799865722656,404.5604248046875,0
2001-03-01,419.8800048828125,419.8800048828125,419.8800048828125,419.8800048828125,419.85968017578125,0
2001-03-02,403.1099853515625,403.1099853515625,403.1099853515625,403.1099853515625,403.0904846191406,0
2001-03-05,412.25,412.25,412.25,412.25,412.2300720214844,0
2001-03-06,430.0899963378906,430.0899963378906,430.0899963378906,430.0899963378906,430.0692138671875,0
2001-03-07,432.8500061035156,432.8500061035156,432.8500061035156,432.8500061035156,432.8290710449219,0
2001-03-08,422.19000244140625,422.19000244140625,422.19000244140625,422.19000244140625,422.1695861816406,0
2001-03-09,391.57000732421875,391.57000732421875,391.57000732421875,391.57000732421875,391.5510559082031,0
2001-03-12,367.0299987792969,367.0299987792969,367.0299987792969,367.0299987792969,367.01226806640625,0
2001-03-13,388.94000244140625,388.94000244140625,388.94000244140625,388.94000244140625,388.92120361328125,0
2001-03-14,380.9100036621094,380.9100036621094,380.9100036621094,380.9100036621094,380.8916015625,0
2001-03-15,374.4700012207031,374.4700012207031,374.4700012207031,374.4700012207031,374.451904296875,0
2001-03-16,364.2300109863281,364.2300109863281,364.2300109863281,364.2300109863281,364.21240234375,0
2001-03-19,378.95001220703125,378.95001220703125,378.95001220703125,378.95001220703125,378.9316711425781,0
2001-03-20,357.7799987792969,357.7799987792969,357.7799987792969,357.7799987792969,357.7627258300781,0
2001-03-21,360.20001220703125,360.20001220703125,360.20001220703125,360.20001220703125,360.1825866699219,0
2001-03-22,383.5199890136719,383.5199890136719,383.5199890136719,383.5199890136719,383.50146484375,0
2001-03-23,389.0199890136719,389.0199890136719,389.0199890136719,389.0199890136719,389.0011901855469,0
2001-03-26,381.1600036621094,381.1600036621094,381.1600036621094,381.1600036621094,381.1416015625,0
2001-03-27,392.0400085449219,392.0400085449219,392.0400085449219,392.0400085449219,392.02105712890625,0
2001-03-28,360.4200134277344,360.4200134277344,360.4200134277344,360.4200134277344,360.402587890625,0
2001-03-29,351.42999267578125,351.42999267578125,351.42999267578125,351.42999267578125,351.41302490234375,0
2001-03-30,353.1000061035156,353.1000061035156,353.1000061035156,353.1000061035156,353.0829162597656,0
2001-04-02,343.239990234375,343.239990234375,343.239990234375,343.239990234375,343.223388671875,0
2001-04-03,320.8500061035156,320.8500061035156,320.8500061035156,320.8500061035156,320.83447265625,0
2001-04-04,313.94000244140625,313.94000244140625,313.94000244140625,313.94000244140625,313.9248352050781,0
2001-04-05,347.8399963378906,347.8399963378906,347.8399963378906,347.8399963378906,347.82318115234375,0
2001-04-06,330.3699951171875,330.3699951171875,330.3699951171875,330.3699951171875,330.35400390625,0
2001-04-09,331.3900146484375,331.3900146484375,331.3900146484375,331.3900146484375,331.3740234375,0
2001-04-10,355.75,355.75,355.75,355.75,355.7327880859375,0
2001-04-11,368.3599853515625,368.3599853515625,368.3599853515625,368.3599853515625,368.3421936035156,0
2001-04-12,381.2099914550781,381.2099914550781,381.2099914550781,381.2099914550781,381.1915588378906,0
2001-04-16,368.510009765625,368.510009765625,368.510009765625,368.510009765625,368.4921875,0
2001-04-17,371.55999755859375,371.55999755859375,371.55999755859375,371.55999755859375,371.5420227050781,0
2001-04-18,409.3500061035156,409.3500061035156,409.3500061035156,409.3500061035156,409.3302307128906,0
2001-04-19,438.9100036621094,438.9100036621094,438.9100036621094,438.9100036621094,438.8887939453125,0
2001-04-20,437.79998779296875,437.79998779296875,437.79998779296875,437.79998779296875,437.77880859375,0
2001-04-23,412.1199951171875,412.1199951171875,412.1199951171875,412.1199951171875,412.1000671386719,0
2001-04-24,400.9200134277344,400.9200134277344,400.9200134277344,400.9200134277344,400.900634765625,0
2001-04-25,406.0400085449219,406.0400085449219,406.0400085449219,406.0400085449219,406.0203857421875,0
2001-04-26,396.9700012207031,396.9700012207031,396.9700012207031,396.9700012207031,396.9508056640625,0
2001-04-27,406.80999755859375,406.80999755859375,406.80999755859375,406.80999755859375,406.7903137207031,0
2001-04-30,412.8500061035156,412.8500061035156,412.8500061035156,412.8500061035156,412.8300476074219,0
2001-05-01,424.45001220703125,424.45001220703125,424.45001220703125,424.45001220703125,424.42950439453125,0
2001-05-02,435.4200134277344,435.4200134277344,435.4200134277344,435.4200134277344,435.3989562988281,0
2001-05-03,417.6499938964844,417.6499938964844,417.6499938964844,417.6499938964844,417.6297912597656,0
2001-05-04,426.69000244140625,426.69000244140625,426.69000244140625,426.69000244140625,426.66937255859375,0
2001-05-07,423.739990234375,423.739990234375,423.739990234375,423.739990234375,423.719482421875,0
2001-05-08,429.8800048828125,429.8800048828125,429.8800048828125,429.8800048828125,429.8592224121094,0
2001-05-09,418.79998779296875,418.79998779296875,418.79998779296875,418.79998779296875,418.7797546386719,0
2001-05-10,412.19000244140625,412.19000244140625,412.19000244140625,412.19000244140625,412.1700744628906,0
