,Sector,COVID_QRecs,COVID_Market_QREC,GFC_QRECS,GFC_Market_QREC,DOTCOM_QRECS,DOTCOM_Market_QREC
0,Energy,6.737704918032787,1.1147540983606556,1.1347905282331512,2.4171220400728597,0.532520325203252,5.548780487804878
1,Materials,1.0327868852459017,1.1147540983606556,2.633879781420765,2.4171220400728597,0.024390243902439025,5.548780487804878
2,Industrials,3.180327868852459,1.1147540983606556,2.4754098360655736,2.4171220400728597,4.483739837398374,5.548780487804878
3,Consumer Disc,0.9016393442622951,1.1147540983606556,0.5774134790528234,2.4171220400728597,0.5,5.548780487804878
4,Consumer Stap,2.0491803278688523,1.1147540983606556,1.0255009107468125,2.4171220400728597,0.45121951219512196,5.548780487804878
5,Health Care,0.26229508196721313,1.1147540983606556,1.8506375227686702,2.4171220400728597,8.085365853658537,5.548780487804878
6,Financial,4.590163934426229,1.1147540983606556,5.154826958105646,2.4171220400728597,0.5447154471544715,5.548780487804878
7,Technology,0.6557377049180327,1.1147540983606556,1.0200364298724955,2.4171220400728597,8.451219512195122,5.548780487804878
8,Communications,1.0163934426229508,1.1147540983606556,2.5664845173041893,2.4171220400728597,27.934959349593495,5.548780487804878
9,Utilities,8.245901639344263,1.1147540983606556,3.240437158469945,2.4171220400728597,7.991869918699187,5.548780487804878
10,Real Estate,5.704918032786885,1.1147540983606556,2.0801457194899817,2.4171220400728597,0.0,0.0
